,osmid,y,x,highway,street_count,ref,geometry
2715,42447428,40.7161994,-73.9875304,traffic_signals,3,,POINT (-73.9875304 40.7161994)
2716,42447435,40.7217853,-73.9846444,,3,,POINT (-73.9846444 40.7217853)
2717,42448141,40.8095869,-73.9399452,traffic_signals,4,,POINT (-73.9399452 40.8095869)
2718,42448162,40.718269,-74.007052,traffic_signals,5,,POINT (-74.007052 40.718269)
2719,42448171,40.7176834,-74.0057919,traffic_signals,4,,POINT (-74.0057919 40.7176834)
2720,42448203,40.7795823,-73.9618327,traffic_signals,3,,POINT (-73.9618327 40.7795823)
2721,42448216,40.778196,-73.9585432,traffic_signals,4,,POINT (-73.9585432 40.778196)
2722,42448238,40.7768695,-73.9554065,traffic_signals,4,,POINT (-73.9554065 40.7768695)
2723,42448254,40.7749252,-73.9507993,traffic_signals,4,,POINT (-73.9507993 40.7749252)
2724,42448257,40.7729859,-73.9461964,traffic_signals,4,,POINT (-73.9461964 40.7729859)
2725,42448278,40.7950638,-73.9331708,traffic_signals,4,,POINT (-73.9331708 40.7950638)
2726,42448283,40.7957326,-73.9326614,traffic_signals,4,,POINT (-73.9326614 40.7957326)
2727,42448317,40.7628699,-73.969724,traffic_signals,4,,POINT (-73.969724 40.7628699)
2728,42448326,40.7596231,-73.961955,traffic_signals,4,,POINT (-73.961955 40.7596231)
2729,42448329,40.7586736,-73.9597228,traffic_signals,4,,POINT (-73.9597228 40.7586736)
2730,42448338,40.7602899,-73.9716128,traffic_signals,4,,POINT (-73.9716128 40.7602899)
2731,42448379,40.7589758,-73.9684836,traffic_signals,5,,POINT (-73.9684836 40.7589758)
2732,42448390,40.7570205,-73.9638565,traffic_signals,4,,POINT (-73.9638565 40.7570205)
2733,42448406,40.7558954,-73.9612132,turning_circle,1,,POINT (-73.9612132 40.7558954)
2734,42448430,40.7116012,-73.9942643,traffic_signals,4,,POINT (-73.9942643 40.7116012)
2735,42448440,40.7117591,-73.9924521,,3,,POINT (-73.9924521 40.7117591)
2736,42448469,40.710952,-74.003624,traffic_signals,4,,POINT (-74.003624 40.710952)
2737,42448483,40.7108044,-74.0034015,,3,,POINT (-74.0034015 40.7108044)
2738,42448506,40.8019538,-73.9535577,traffic_signals,4,,POINT (-73.9535577 40.8019538)
2739,42448549,40.7281021,-74.0021007,traffic_signals,4,,POINT (-74.0021007 40.7281021)
2740,42448552,40.7258712,-73.9975736,traffic_signals,4,,POINT (-73.9975736 40.7258712)
2741,42448558,40.7270026,-73.9998695,traffic_signals,4,,POINT (-73.9998695 40.7270026)
2742,42448563,40.7286189,-74.0053219,traffic_signals,4,,POINT (-74.0053219 40.7286189)
2743,42448568,40.7289809,-74.0093502,traffic_signals,4,,POINT (-74.0093502 40.7289809)
2744,42448570,40.7291048,-74.0105566,traffic_signals,4,,POINT (-74.0105566 40.7291048)
2745,42448578,40.706379,-74.009502,,3,,POINT (-74.009502 40.706379)
2746,42448583,40.7079881,-74.0080159,,4,,POINT (-74.0080159 40.7079881)
2747,42448593,40.710397,-74.005599,traffic_signals,3,,POINT (-74.005599 40.710397)
2748,42448605,40.8135001,-73.9531087,,3,,POINT (-73.9531087 40.8135001)
2749,42448607,40.8143012,-73.9530769,traffic_signals,4,,POINT (-73.9530769 40.8143012)
2750,42448611,40.8150729,-73.9529724,traffic_signals,4,,POINT (-73.9529724 40.8150729)
2751,42448655,40.8253247,-73.9457322,stop,4,,POINT (-73.9457322 40.8253247)
2752,42448661,40.8259476,-73.9452763,stop,4,,POINT (-73.9452763 40.8259476)
2753,42448674,40.8283064,-73.9431325,traffic_signals,4,,POINT (-73.9431325 40.8283064)
2754,42448693,40.7401693,-73.9863033,traffic_signals,4,,POINT (-73.9863033 40.7401693)
2755,42448701,40.7388354,-73.9831516,traffic_signals,4,,POINT (-73.9831516 40.7388354)
2756,42448707,40.7368956,-73.9785412,traffic_signals,4,,POINT (-73.9785412 40.7368956)
2757,42448714,40.7354563,-73.9751359,traffic_signals,4,,POINT (-73.9751359 40.7354563)
2758,42448726,40.7853441,-73.9576327,traffic_signals,3,,POINT (-73.9576327 40.7853441)
2759,42448729,40.7839591,-73.9543364,traffic_signals,4,,POINT (-73.9543364 40.7839591)
2760,42448735,40.7826365,-73.9511915,traffic_signals,4,,POINT (-73.9511915 40.7826365)
2761,42448745,40.7806943,-73.9465727,traffic_signals,4,,POINT (-73.9465727 40.7806943)
2762,42448811,40.755903,-73.9748081,traffic_signals,4,,POINT (-73.9748081 40.755903)
2763,42448813,40.7545735,-73.9716835,traffic_signals,4,,POINT (-73.9716835 40.7545735)
2764,42448930,40.860657,-73.9273,traffic_signals,4,,POINT (-73.9273 40.860657)
2765,42448979,40.8083262,-73.94086,traffic_signals,4,,POINT (-73.94086 40.8083262)
2766,42448996,40.7607173,-74.0020745,traffic_signals,3,,POINT (-74.0020745 40.7607173)
