,u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,bridge,tunnel,width,junction
9264,5004570653,7620540917,0,511671667,Riverside Drive,secondary,,True,False,74.62,"LINESTRING (-73.9643865 40.8107511, -73.9643427 40.8108101, -73.9640237 40.8112445, -73.9639549 40.8113373)",2,,,,,,
9265,5007384486,1632878885,0,829073006,East 27th Street,residential,25 mph,False,False,61.006,"LINESTRING (-73.9747637 40.7384611, -73.9745603 40.7383698, -73.974237 40.7382283, -73.9742242 40.7382227, -73.974138 40.738185)",,,permissive,,,,
9266,5048446874,5048446875,0,"[1081037809, 5669719]",Cabrini Boulevard,residential,25 mph,True,False,92.87700000000001,"LINESTRING (-73.9413213 40.8481992, -73.9413026 40.8482595, -73.9411203 40.8488164, -73.9410832 40.8489296, -73.9410746 40.8489563, -73.9410566 40.8490101)",1,,,,,,
9267,5048446874,60926616,0,"[46613643, 46613645]",West 177th Street,residential,25 mph,True,False,63.82299999999999,"LINESTRING (-73.9413213 40.8481992, -73.9414166 40.8482177, -73.9419004 40.8483115, -73.9419389 40.8483179, -73.9419915 40.8483213, -73.94206 40.8483256)",1,,,,,,
9268,5048446875,60926009,0,8119562,West 178th Street,primary,25 mph,True,False,78.49,"LINESTRING (-73.9410566 40.8490101, -73.9401536 40.8488321)",2,US 9,,,,,
9269,5051482018,374451674,0,46616996,,unclassified,,False,True,29.362,"LINESTRING (-73.9316097 40.8688397, -73.9315115 40.8690931)",,,,,,,
9270,5051482018,4515465265,0,"[833564685, 517694719]",,unclassified,,True,False,39.459999999999994,"LINESTRING (-73.9316097 40.8688397, -73.9312667 40.8687411, -73.9312295 40.8687423, -73.9311686 40.8687597)",,,,,,,
9271,5071822871,42429226,0,223879813,Broadway,primary,,False,True,22.924999999999997,"LINESTRING (-73.919497 40.8681842, -73.9196431 40.8681472, -73.9197555 40.8681187)",4,US 9,,,,,
9272,5071822871,42429228,0,520349854,Broadway,primary,,False,False,85.6,"LINESTRING (-73.919497 40.8681842, -73.9191084 40.8682826, -73.9190468 40.8682982, -73.9185973 40.8684683, -73.918561 40.868482)",4,US 9,,,,,
9273,5079840928,5079840929,0,"[40337691, 521358279]",Williamsburg Bridge,motorway,35 mph,True,False,594.991,"LINESTRING (-73.9787954 40.71572, -73.9841569 40.7173458, -73.9853534 40.7177011)",4,,,yes,,,
9274,5079840929,3630219668,0,521358282,,motorway_link,25 mph,True,False,37.514,"LINESTRING (-73.9853534 40.7177011, -73.9855661 40.7178127, -73.9856178 40.7178439, -73.9856414 40.7178672, -73.9856526 40.7179013, -73.9856527 40.717928)",1,,,,,,
9275,5079840929,486868138,0,"[420354146, 546364862]","['Delancey Street', 'Williamsburg Bridge']","['primary', 'motorway']",25 mph,True,False,110.348,"LINESTRING (-73.9853534 40.7177011, -73.9857322 40.7178138, -73.9858082 40.7178414, -73.9858122 40.7178437, -73.9864599 40.71809, -73.9865384 40.7181209)",3,,,,,,
